"subject","item","response","response_time","ambiguity","group","gap_filling","ambiguity_G","group_G","gap_filling_G"
"Native 8",9,1,"1444",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 8",10,1,"2566",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 8",3,1,"1785",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 9",8,1,"1236",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 9",12,1,"1423",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 9",2,1,"1102",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 9",6,1,"1255",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 9",17,0,"1070",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 9",14,1,"1081",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 9",18,1,"1727",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 9",5,1,"1012",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 9",3,1,"748",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 9",11,0,"857",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 9",9,0,"1427",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 9",15,1,"1382",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 10",5,1,"2645",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 10",8,1,"1762",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 10",2,1,"2401",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 10",13,1,"2540",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 10",10,1,"9896",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 10",7,1,"6417",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 10",1,1,"2834",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 10",14,1,"3227",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 10",17,1,"1118",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 10",11,0,"9015",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 10",16,1,"1421",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 10",4,1,"1793",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 11",18,1,"3760",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 11",9,1,"2926",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 11",1,1,"2922",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 11",10,1,"1713",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 11",15,1,"3929",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 11",16,1,"1940",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 11",7,1,"2692",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 11",13,1,"2344",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 11",4,1,"1609",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
