"controller","condition","item","response","response_time","subject","group_G","reading_time","ambiguity_G","filled_gap_G"
"PictureAccept","exp3-2",47,1,"751","Native 4","Native",751,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",53,1,"1367","Native 4","Native",1367,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",48,0,"1402","Native 4","Native",1402,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-2",29,0,"992","Native 4","Native",992,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",49,0,"1532","Native 4","Native",1532,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-1",25,1,"884","Native 4","Native",884,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-1",28,1,"1409","Native 4","Native",1409,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",45,1,"2186","Native 4","Native",2186,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-3",36,1,"1154","Native 4","Native",1154,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",34,0,"1282","Native 4","Native",1282,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",51,1,"1207","Native 4","Native",1207,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",50,1,"1122","Native 4","Native",1122,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",31,0,"1662","Native 4","Native",1662,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",42,1,"1499","Native 4","Native",1499,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",43,1,"858","Native 4","Native",858,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-1",37,0,"943","Native 4","Native",943,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",27,0,"1409","Native 4","Native",1409,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",40,0,"3044","Native 4","Native",3044,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",33,1,"2333","Native 4","Native",2333,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",30,1,"2046","Native 5","Native",2046,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",40,0,"2744","Native 5","Native",2744,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",35,1,"1152","Native 5","Native",1152,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",52,0,"3164","Native 5","Native",3164,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-1",39,0,"2656","Native 5","Native",2656,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",29,1,"1151","Native 5","Native",1151,"Control","Non-Filled-Gap"
"PictureAccept","exp3-1",43,0,"2565","Native 5","Native",2565,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",36,1,"1143","Native 5","Native",1143,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",32,1,"1094","Native 5","Native",1094,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",27,1,"1908","Native 5","Native",1908,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",53,1,"2784","Native 5","Native",2784,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",51,1,"3920","Native 5","Native",3920,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-2",50,0,"7518","Native 5","Native",7518,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-3",38,1,"2100","Native 5","Native",2100,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",33,1,"1112","Native 5","Native",1112,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",26,1,"6265","Native 5","Native",6265,"Control","Non-Filled-Gap"
"PictureAccept","exp2-2",31,1,"1205","Native 5","Native",1205,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-1",42,1,"1557","Native 5","Native",1557,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",47,1,"3015","Native 5","Native",3015,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-3",41,1,"1130","Native 5","Native",1130,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",54,1,"2174","Native 5","Native",2174,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",49,1,"1661","Native 5","Native",1661,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",45,1,"1221","Native 5","Native",1221,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-2",25,1,"2002","Native 5","Native",2002,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",37,1,"1360","Native 5","Native",1360,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",46,1,"947","Native 5","Native",947,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",48,1,"1142","Native 5","Native",1142,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",28,1,"1000","Native 5","Native",1000,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",34,1,"1114","Native 5","Native",1114,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",44,1,"1196","Native 5","Native",1196,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-1",35,0,"1433","Native 6","Native",1433,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",30,1,"1203","Native 6","Native",1203,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",28,0,"1171","Native 6","Native",1171,"Control","Non-Filled-Gap"
"PictureAccept","exp3-1",52,1,"1686","Native 6","Native",1686,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",44,0,"1239","Native 6","Native",1239,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",46,1,"903","Native 6","Native",903,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-2",51,1,"1055","Native 6","Native",1055,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",49,1,"1046","Native 6","Native",1046,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-1",29,1,"1390","Native 6","Native",1390,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",33,1,"1199","Native 6","Native",1199,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",37,0,"1124","Native 6","Native",1124,"Control","Non-Filled-Gap"
"PictureAccept","exp2-3",31,1,"1215","Native 6","Native",1215,"Control","Non-Filled-Gap"
"PictureAccept","exp2-2",42,0,"1278","Native 6","Native",1278,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",34,1,"1105","Native 6","Native",1105,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",45,1,"925","Native 6","Native",925,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",27,0,"1201","Native 6","Native",1201,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",36,0,"993","Native 6","Native",993,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-1",41,1,"946","Native 6","Native",946,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",39,0,"1182","Native 6","Native",1182,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",54,1,"1133","Native 6","Native",1133,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-2",53,1,"758","Native 6","Native",758,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",48,1,"902","Native 6","Native",902,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",50,0,"1011","Native 6","Native",1011,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",38,1,"1006","Native 6","Native",1006,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",25,1,"1472","Native 6","Native",1472,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",26,0,"1161","Native 6","Native",1161,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",40,1,"978","Native 6","Native",978,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",43,0,"977","Native 6","Native",977,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",47,0,"1636","Native 6","Native",1636,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-1",32,1,"1223","Native 6","Native",1223,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-1",28,1,"2590","Native 7","Native",2590,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-1",40,1,"1536","Native 7","Native",1536,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",33,0,"4461","Native 7","Native",4461,"Control","Non-Filled-Gap"
"PictureAccept","exp3-1",43,0,"2079","Native 7","Native",2079,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-3",30,1,"2305","Native 7","Native",2305,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",50,1,"1870","Native 7","Native",1870,"Unambiguous","Filled-Gap"
