"subject","item","region","measure","condition","rawdata","group_G"
"Native 8",32,2,"fp",3,169,"Native"
"Native 8",28,2,"fp",3,102,"Native"
"Native 8",38,2,"fp",1,276,"Native"
"Native 8",47,2,"fp",2,467,"Native"
"Native 8",30,2,"fp",1,341,"Native"
"Native 8",31,2,"fp",2,585,"Native"
"Native 8",41,2,"fp",4,180,"Native"
"Native 8",42,2,"fp",1,179,"Native"
"Native 8",25,2,"fp",4,216,"Native"
"Native 8",27,2,"fp",2,246,"Native"
"Native 8",46,2,"fp",1,159,"Native"
"Native 8",48,2,"fp",3,0,"Native"
"Native 8",39,2,"fp",2,213,"Native"
"Native 8",29,2,"fp",4,621,"Native"
"Native 8",33,2,"fp",4,267,"Native"
"Native 8",45,2,"fp",4,244,"Native"
"Native 8",36,2,"fp",3,178,"Native"
"Native 8",35,2,"fp",2,319,"Native"
"Native 8",40,2,"fp",3,205,"Native"
"Native 8",34,2,"fp",1,213,"Native"
"Native 8",44,2,"fp",3,522,"Native"
"Native 8",26,2,"fp",1,977,"Native"
"Native 8",37,2,"fp",4,199,"Native"
"Native 9",46,2,"fp",2,308,"Native"
"Native 9",30,2,"fp",2,184,"Native"
"Native 9",42,2,"fp",2,0,"Native"
"Native 9",27,2,"fp",3,253,"Native"
"Native 9",36,2,"fp",4,166,"Native"
"Native 9",45,2,"fp",1,196,"Native"
"Native 9",35,2,"fp",3,842,"Native"
"Native 9",39,2,"fp",3,280,"Native"
"Native 9",47,2,"fp",3,381,"Native"
"Native 9",40,2,"fp",4,190,"Native"
"Native 9",38,2,"fp",2,165,"Native"
"Native 9",43,2,"fp",3,282,"Native"
"Native 9",29,2,"fp",1,484,"Native"
"Native 9",26,2,"fp",2,283,"Native"
"Native 9",33,2,"fp",1,1162,"Native"
"Native 9",41,2,"fp",1,257,"Native"
"Native 9",34,2,"fp",2,271,"Native"
"Native 9",37,2,"fp",1,268,"Native"
"Native 9",48,2,"fp",4,421,"Native"
"Native 9",31,2,"fp",3,251,"Native"
"Native 9",32,2,"fp",4,0,"Native"
"Native 9",44,2,"fp",4,169,"Native"
"Native 9",28,2,"fp",4,305,"Native"
"Native 9",25,2,"fp",1,649,"Native"
"Native 10",43,2,"fp",4,301,"Native"
"Native 10",48,2,"fp",1,233,"Native"
"Native 10",39,2,"fp",4,267,"Native"
"Native 10",44,2,"fp",1,280,"Native"
"Native 10",42,2,"fp",3,351,"Native"
"Native 10",33,2,"fp",2,233,"Native"
"Native 10",35,2,"fp",4,499,"Native"
